label,text,predicted_label,predicted_label_category
2,copycat muslim terrorist arrested assault weapon,0,Fake
2,wow chicago protester caught camera admits violent activity pre planned gonna peaceful,0,Fake
2,germany fdp look fill schaeuble big shoe,0,Fake
2,mi school sends welcome back packet warning kid wearing u flag school,0,Fake
2,u n seek massive aid boost amid rohingya emergency within emergency,1,True
2,oprah leave nasty hillary wishing endorsed video,0,Fake
2,france macron say job cool cite talk turkey erdogan,1,True
2,flashback chilling 60 minute interview george soros nearly 20 year ago,0,Fake
2,spanish foreign ministry say expel north korean ambassador,1,True
2,trump say cuba bad thing aimed u diplomat,1,True
2,merkel name refugee expert foreign policy adviser,1,True
2,brazil house speaker say temer charge must taken together,1,True
2,finger every pie cia produce news entertainment,0,Fake
2,malia obama pot smoking friend connected father thug brutal criminal history trouble law,0,Fake
2,one wreck democracy schaueble tell german,1,True
2,medium ignores post facebook man threatened blow ca mosque hillary would make great president,0,Fake
2,left wing author blast democrat scandal mongering rachel maddow dot may never connect video,0,Fake
2,revealed democratic party pay agit prop protester incite violence trump event,0,Fake
2,macron call french food chain change help farmer,1,True
2,breaking news gop controlled house vote repeal obamacare,0,Fake
2,dutch government roll carpet business tax cut,1,True
2,exclusive u backed raqqa battle end two month say senior sdf commander,1,True
2,mainstream medium fake news 21st century wire debate american liberal academic,0,Fake
2,turkish force set position syria idlib,1,True
2,breaking video controversial mayor refused allow sharia law texas city muslim clock boy went school explains school tell side story,0,Fake
2,arizona bikers become violent dreamer worst nightmare upcoming phoenix trump rally,0,Fake
2,mexico school collapse spur doubt building code quake,1,True
2,boiler room 94 president trump great neo liberal freakout 2017,0,Fake
2,say tide detergent join force open border organization la raza wash away racism video,0,Fake
2,episode 9 qt cozy bear eggnog sober analysis russian hack hysteria,1,True
2,germany softens stance turkish arm sale citing security,1,True
2,man walk target undercover camera watch manager shocking reply asks use woman bathroom,0,Fake
2,hillary crash burn dems look recycled rich white guy save diverse,0,Fake
2,oops hillary hit woman lied trump groping eye witness come forward one flirtatious,0,Fake
2,college receives 280 million state,0,Fake
2,u military iraq urge iraqi kurd avoid escalation,1,True
2,singapore man woman arrested terrorism related activity,1,True
2,hillary clinton jump shark trump secret russian server conspiracy theory,0,Fake
2,venezuela unrest food scarcity take psychological toll child,1,True
2,u willing asked facilitate talk kurd baghdad state department,1,True
2,u house vote non nuclear iran sanction next week,1,True
2,kurdish government hold meeting baghdad eve independence vote,1,True
2,fox news shepard smith liberal meltdown trump press conference video fireshepardsmith,0,Fake
2,china vow scrap secret interrogation communist party member,1,True
2,awesome college prof call cop conservative expect video,0,Fake
2,gupta email still investigation top south africa prosecutor,1,True
2,maid scream,0,Fake
2,u n expert woman child right decry myanmar atrocity,1,True
2,believe watch donna brazile defend decision cheat leaking question hillary video,0,Fake
2,something hokey ted,0,Fake
2,boiler room ep 68 4 non binary blonde social justice triggly convulsion,0,Fake
2,winning 14 year ban,0,Fake
2,danish diver find missing body part swedish journalist,1,True
2,malia obama attend university 5 9 acceptance rate black privilege video,0,Fake
2,low flush toilet,0,Fake
2,shocking physical abuse revealed former secret service agent say agent faced predicament protect bill physical violence hillary video,0,Fake
2,muslim activist running office key state fundamental transformation,0,Fake
2,british police feel strain attack latest london bombing,1,True
2,black life matter terrorist asks allah help kill men white folk,0,Fake
2,hillary pander black radio host attempt tie racist beyonce song host asks need mouth mouth cpr watch,0,Fake
2,wikileaks bombshell huge pay play hillary risked national security legal,0,Fake
2,wife lion quarterback matthew stafford sent brutal message nfl player disrespect flag,0,Fake
2,guess leftist,0,Fake
2,bahrain reject amnesty report citing crackdown dissent,1,True
2,journalist cnn brian stelter manages clinton health cover,1,True
2,black female trump executive read powerful letter wrote dispel lie told trump family,0,Fake
2,open border bernie threatens sheriff arpaio arresting illegal alien watch joe,0,Fake
2,cuba could stop attack american white house,1,True
2,army threatens green beret war hero court martial whistleblowing failed hostage rescue,0,Fake
2,hurricane irma kill least six french island saint martin,1,True
2,trump announce broad iran strategy week white house,1,True
2,iran promise crushing response u designates guard terrorist group,0,Fake
2,thailand ousted pm yingluck fled abroad source,1,True
2,macron fight president rich tag ending wealth tax,1,True
2,racist girl fired behaving like first lady,0,Fake
2,uk pm may want strong friend eu,1,True
2,muslim immigrant chanted allahu akbar raping gas station attendant refused appear nd court,0,Fake
2,clinton charity raked taxpayer dollar million,0,Fake
2,trump tougher stance could backfire boosting iran guard,1,True
2,u coalition airstrike syrian army al tanf another calculated war crime,1,True
2,breaking wikileaks give tech company exclusive access cia hack tool,0,Fake
2,hilarious video show reddit user apologizing terror organization cnn threatened public,0,Fake
2,peru congress pass bill legalize medical marijuana,1,True
2,wow sean spicer destroys bbc,0,Fake
2,syrian muslim man whose family perished trip could get free dental care new spokesperson role,0,Fake
2,go go going chinese woman fuel thai tourism boom,1,True
2,hillary call cranky socialist stole election sway free sh voter video,0,Fake
2,hillary barack choose islam christianity every time,0,Fake
2,race obsessed democrat congressman caught allowing daughter use vehicle congressional plate taxi hire,1,True
2,wow russian lawyer met donald trump jr seen photo person tied obama 8 day meeting,0,Fake
2,north korea kim jong un fete nuclear scientist hold celebration bash,1,True
2,ten million australian vote far sex marriage poll,1,True
2,granny clinton go way left fear mongering cause hurricane hermine,0,Fake
2,russia putin say able solve north korea crisis diplomatic mean,1,True
2,indoctrinated college student stunned ugly truth hillary candidate said,0,Fake
2,italy court deal blow 5 star ahead sicily vote,1,True
2,hawkish dove enigma donald trump volatile race white house,0,Fake
2,myanmar say body 28 hindu villager found rakhine state,1,True
2,france say turkish russia missile deal sovereign decision,1,True
2,colin powell say hillary lying private email server conversation recollection dinner conversation video,0,Fake
2,triggered police officer kicked event wearing uniform,0,Fake
2,brazil congress advance bill curb party proliferation,1,True
2,medium tripwire ping pong pizza conspiracy propels internet censorship amid fake news witch hunt,0,Fake
2,ceo threatened kill trump sniper rifle say life turned upside video,0,Fake
2,disgrace obama regime caught wasting 25 million u tax dollar phony climate change country citizen starving video,0,Fake
2,gwenyth paltrow understand named hated celebrity,0,Fake
2,libertarian gary johnson endorses black life matter,0,Fake
2,kimberly guilfoyle serious legal issue surround rachel maddow report trump 2005 tax return video,0,Fake
2,provocation republican senator introduce new bill move u embassy israel jerusalem,1,True
2,meet leftist assistant professor made bogus list fake conservative website went viral,0,Fake
2,new low nyt cbs used fake news smear wounded warrior project triple amputee vet freedom daily expose,0,Fake
2,donna brazile finally admits giving hillary question debate medium hold crooked hillary accountable accepting question video,0,Fake
2,explosion rock myanmar area near bangladesh border amid rohingya exodus,1,True
2,holy moly trump give epic news conference slays press dress cnn rating lower congress network hate video,0,Fake
2,cyprus president seek second five year term jan 18 vote,1,True
2,new kosovo pm pledge dialogue serbia graft fight,1,True
2,u maintain cuba venezuela sanction freedom restored trump,1,True
2,spanish foreign minister call catalonia leader speech trick,1,True
2,whoa first lady melania make classy,0,Fake
2,speaker scheduled praise hillary totally trash taken stage security video,0,Fake
2,spirit halloween cave trans mafia take offensive caitlyn jenner costume website,0,Fake
2,az rancher living u mexico border destroy nancy pelosi claim trump weak wanting border wall video,0,Fake
2,violence escalate chicago police chief told officer stand trump rally video,0,Fake
2,safe welfare state sweden descends anarchy muslim refugee situation control,0,Fake
2,hope evaporating grim wait relative mexico quake,1,True
2,democrat mock american believing climate change part obamatrade two week later obama announces climate change part obamatrade,0,Fake
2,ireland call realism uk border issue latest brexit talk,1,True
2,fox news freefall bill reilly loses kid allegedly choking wife trump hater,0,Fake
2,police dept cancel high five cop elementary school concern offending undocumented child kid color,0,Fake
2,melania win huge settlement tabloid fake embarrassing claim,0,Fake
2,obama communist crony van jones worry tell child america video,0,Fake
2,thug anniversary get violent ferguson cellphone capture shocking video protester blocking traffic mowed car shot erupt video,0,Fake
2,broke city chicago spends taxpayer money sticking trump huge f installed right outside luxury hotel,0,Fake
2,illegals american citizen aclu sue 3 missouri college refusing tuition benefit illegal alien,0,Fake
2,uk parliament vote brexit deal european parliament may,1,True
